"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 18, 2020","1,646.42","1,638.89","1,647.78","1,638.60","1.50B","0.49%"
"Sep 17, 2020","1,638.40","1,642.48","1,645.36","1,634.21","1.11B","-0.36%"
"Sep 16, 2020","1,644.35","1,639.02","1,647.68","1,637.56","1.17B","0.21%"
"Sep 15, 2020","1,640.84","1,643.68","1,644.50","1,635.12","1.17B","-0.62%"
"Sep 14, 2020","1,651.10","1,641.13","1,652.20","1,640.53","1.18B","0.88%"
"Sep 11, 2020","1,636.64","1,619.89","1,636.64","1,619.43","1.30B","0.72%"
"Sep 10, 2020","1,624.86","1,615.05","1,625.30","1,614.48","1.15B","1.21%"
"Sep 09, 2020","1,605.40","1,598.12","1,607.66","1,593.89","1.36B","-0.96%"
"Sep 08, 2020","1,620.89","1,614.41","1,620.89","1,609.28","1.07B","0.69%"
"Sep 07, 2020","1,609.74","1,613.18","1,619.10","1,607.43","1.06B","-0.42%"
"Sep 04, 2020","1,616.60","1,611.33","1,619.66","1,610.39","1.07B","-0.90%"
"Sep 03, 2020","1,631.24","1,639.40","1,639.59","1,628.43","1.02B","0.48%"
"Sep 02, 2020","1,623.40","1,622.62","1,623.46","1,616.72","976.48M","0.47%"
"Sep 01, 2020","1,615.81","1,613.64","1,618.54","1,606.84","1.03B","-0.15%"
"Aug 31, 2020","1,618.18","1,621.93","1,635.64","1,617.66","1.34B","0.83%"
"Aug 28, 2020","1,604.87","1,621.39","1,636.57","1,590.83","1.67B","-0.68%"
